Date,Close_Price,Ticker,Volatility_30d
2023-02-10,148.99,AAPL,9.13
2023-02-13,151.79,AAPL,9.3
2023-02-14,151.15,AAPL,9.38
2023-02-15,153.26,AAPL,9.23
2023-02-16,151.66,AAPL,8.98
2023-02-17,150.51,AAPL,8.49
2023-02-21,146.5,AAPL,8.09
2023-02-22,146.92,AAPL,7.66
2023-02-23,147.4,AAPL,7.2
2023-02-24,144.75,AAPL,6.82
2023-02-27,145.94,AAPL,6.39
2023-02-28,145.44,AAPL,5.98
2023-03-01,143.37,AAPL,5.61
2023-03-02,143.96,AAPL,5.13
2023-03-03,149.01,AAPL,4.58
2023-03-06,151.78,AAPL,4.24
2023-03-07,149.57,AAPL,4.0
2023-03-08,150.83,AAPL,3.84
2023-03-09,148.58,AAPL,3.55
2023-03-10,146.52,AAPL,3.38
2023-03-13,148.46,AAPL,3.29
2023-03-14,150.55,AAPL,3.01
2023-03-15,150.95,AAPL,2.8
2023-03-16,153.77,AAPL,2.75
2023-03-17,152.93,AAPL,2.84
2023-03-20,155.3,AAPL,3.0
2023-03-21,157.15,AAPL,3.32
2023-03-22,155.72,AAPL,3.47
2023-03-23,156.81,AAPL,3.71
2023-03-24,158.11,AAPL,3.98
2023-03-27,156.17,AAPL,4.12
2023-03-28,155.54,AAPL,4.22
2023-03-29,158.62,AAPL,4.46
2023-03-30,160.19,AAPL,4.76
2023-03-31,162.7,AAPL,5.21
2023-04-03,163.95,AAPL,5.68
2023-04-04,163.42,AAPL,5.96
2023-04-05,161.57,AAPL,6.09
2023-04-06,162.46,AAPL,6.23
2023-04-10,159.87,AAPL,6.11
2023-04-11,158.65,AAPL,5.97
2023-04-12,157.96,AAPL,5.76
2023-04-13,163.35,AAPL,5.54
2023-04-14,163.0,AAPL,5.26
2023-04-17,163.02,AAPL,5.23
2023-04-18,164.25,AAPL,5.33
2023-04-19,165.39,AAPL,5.35
2023-04-20,164.42,AAPL,5.34
2023-04-21,162.82,AAPL,5.1
2023-04-24,163.12,AAPL,4.64
2023-04-25,161.58,AAPL,4.21
2023-04-26,161.57,AAPL,3.88
2023-04-27,166.16,AAPL,3.67
2023-04-28,167.41,AAPL,3.67
2023-05-01,167.32,AAPL,3.55
2023-05-02,166.29,AAPL,3.48
2023-05-03,165.21,AAPL,3.44
2023-05-04,163.58,AAPL,3.24
2023-05-05,171.25,AAPL,3.49
2023-05-08,171.18,AAPL,3.71
2023-05-09,169.48,AAPL,3.65
2023-05-10,171.24,AAPL,3.6
2023-05-11,171.43,AAPL,3.69
2023-05-12,170.5,AAPL,3.76
2023-05-15,170.01,AAPL,3.85
2023-05-16,170.01,AAPL,3.95
2023-05-17,170.62,AAPL,4.05
2023-05-18,172.95,AAPL,4.2
